,Date,Price,Deviation,Moving Average,Moving Standard Deviation,Moving Deviation,Moving Variation Coefficient
10516,2022-08-29,161.36000061035156,5.258236729377323,162.99633356730143,7.460276988145423,-1.0039078310152463,-0.1
10517,2022-08-30,160.13999938964844,4.462406431824258,162.64883371988932,7.557466014805073,-1.542485287390104,-0.2
10518,2022-08-31,158.86000061035156,3.6274385710476063,162.37000045776367,7.639346015806104,-2.1617292834368986,-0.3
10519,2022-09-01,156.5449981689453,2.117317883857962,161.85566736857098,7.757382215184351,-3.281114146922288,-0.4
10520,2022-09-02,157.66500091552734,2.8479172504380426,161.2031672159831,7.9062200485622816,-2.1948491221113784,-0.3
10521,2022-09-06,155.38999938964844,1.363889930997796,160.56716740926106,7.876219068891977,-3.2243005236660967,-0.4
10522,2022-09-07,155.13999938964844,1.2008101151648243,159.89933395385742,7.688082145981,-2.976456778476887,-0.4
10523,2022-09-08,154.5199966430664,0.7963703802506873,159.0678337097168,7.606090778474537,-2.859055134270426,-0.4
10524,2022-09-09,156.28500366210938,1.947718458688406,158.04583358764648,7.540034303650556,-1.114126127570846,-0.1
10525,2022-09-12,161.77999877929688,5.53220962554447,156.93050053914388,7.5718216724016605,3.0902203354301827,0.4
10526,2022-09-13,156.95499420166016,2.384766193887505,155.85900065104167,7.563362472585617,0.7031955460001614,0.1
10527,2022-09-14,155.3550033569336,1.3410613447177104,155.08366724650065,7.413555161556053,0.17496111308849857,0.0
10528,2022-09-15,153.31000518798828,0.007069645636247056,154.309583791097,7.2638332787906625,-0.6477748034509233,-0.1
10529,2022-09-16,149.86000061035156,-2.2434347989393744,154.15143040248327,2.579968263779495,-2.7839052682981635,-1.1
10530,2022-09-19,151.8300018310547,-0.9583650538873942,153.54214586530412,2.295452955711201,-1.1150971120016935,-0.5
10531,2022-09-20,155.5800018310547,1.487832183607181,152.77928815569197,2.473030273816242,1.8331762827096083,0.7
10532,2022-09-21,156.17000579833984,1.8727031369095246,152.55000196184432,2.4899698070250778,2.372994945880735,1.0
10533,2022-09-22,152.69000244140625,-0.39737008927789,152.90357317243303,2.2035852830831613,-0.13967674305814212,-0.1
10534,2022-09-23,150.01499938964844,-2.142326109411095,152.3192868913923,2.9511283134491535,-1.5128008729366464,-0.5
10535,2022-09-26,151.7050018310547,-1.03990496180388,150.6221433367048,3.9948461260411627,0.7189238383955547,0.2
10536,2022-09-27,152.33499908447266,-0.6289456175531587,148.39071437290735,4.6827178523372766,2.6580401127076425,0.6
10537,2022-09-28,147.73999786376953,-3.6263534288513415,146.63214329310827,5.092587126523659,0.7555332315144093,0.1
10538,2022-09-29,143.6999969482422,-6.261723849928286,145.9500002179827,4.87927216480327,-1.5416260817951621,-0.3
10539,2022-09-30,140.5500030517578,-8.316525547982913,144.91464233398438,4.172280409007316,-3.0118690643885317,-0.7
10540,2022-10-03,140.3800048828125,-8.427418628317088,,,,
10541,2022-10-04,145.23999786376953,-5.257151587181058,,,,
10542,2022-10-05,144.4574966430664,-5.767592207026423,,,,
